key,entity_id
pv_power_sensor,sensor.pv_power
battery_soc_sensor,sensor.battery_soc
auto_soc_sensor,sensor.auto_soc
home_consumption_sensor,sensor.home_consumption
solar_forecast_sensor,sensor.solar_forecast_power
wallbox_mode_sensor,sensor.wallbox_mode
wallbox_current_limit_sensor,sensor.wallbox_current_limit
ev_charger_switch,switch.ev_charger
input_boolean_daily_charging_enabled,input_boolean.daily_charging_enabled
input_boolean_adhoc_charging_enabled,input_boolean.adhoc_charging_enabled
input_select_adhoc_charge_mode,input_select.adhoc_charge_mode
input_number_pv_surplus_threshold,input_number.pv_surplus_threshold
input_number_target_soc,input_number.target_soc
input_number_adhoc_target_soc,input_number.adhoc_target_soc
input_number_adhoc_charge_current_limit,input_number.adhoc_charge_current_limit
input_number_auto_battery_capacity,input_number.auto_battery_capacity
input_datetime_daily_charge_time_monday,input_datetime.daily_charge_time_monday
input_datetime_daily_charge_time_tuesday,input_datetime.daily_charge_time_tuesday
input_datetime_daily_charge_time_wednesday,input_datetime.daily_charge_time_wednesday
input_datetime_daily_charge_time_thursday,input_datetime.daily_charge_time_thursday
input_datetime_daily_charge_time_friday,input_datetime.daily_charge_time_friday
input_datetime_daily_charge_time_saturday,input_datetime.daily_charge_time_saturday
input_datetime_daily_charge_time_sunday,input_datetime.daily_charge_time_sunday
input_number_daily_target_soc_monday,input_number.daily_target_soc_monday
input_number_daily_target_soc_tuesday,input_number.daily_target_soc_tuesday
input_number_daily_target_soc_wednesday,input_number.daily_target_soc_wednesday
input_number_daily_target_soc_thursday,input_number.daily_target_soc_thursday
input_number_daily_target_soc_friday,input_number.daily_target_soc_friday
input_number_daily_target_soc_saturday,input_number.daily_target_soc_saturday
input_number_daily_target_soc_sunday,input_number.daily_target_soc_sunday
input_datetime_adhoc_departure_time,input_datetime.adhoc_departure_time
